id,carat,cut,color,clarity,depth,table,x,y,z,price
0,11,Premium,H,SI2,622,580,669,66,413,4375.87392
1,51,Ideal,I,SI1,625,570,507,51,318,1055.712
2,203,Premium,G,SI1,619,590,814,809,502,17075.28297
3,121,Premium,F,SI1,600,600,696,691,416,6301.57347
4,55,Ideal,F,SI1,618,550,527,522,324,1450.42269
5,7,Premium,H,SI1,611,580,574,579,352,2362.74437
6,59,Ideal,E,VS2,602,610,543,547,328,2125.31267
7,54,Ideal,H,VVS1,619,540,522,525,324,1738.36867
8,9,Premium,D,SI2,581,600,626,624,363,3255.36243
9,133,Ideal,F,IF,602,570,712,717,43,14947.91199
10,78,Ideal,E,VS2,614,560,591,595,364,3591.76594
11,31,Ideal,E,SI1,616,540,439,441,271,512.50819
12,38,Ideal,H,SI1,612,560,463,468,285,731.23174
13,93,Good,G,SI1,638,580,614,609,39,3658.41015
14,35,Premium,E,VS2,589,590,464,459,272,700.97781
15,10,Good,H,SI1,616,610,629,635,389,4320.92712
16,62,Fair,F,SI1,551,660,585,57,318,1801.06397
17,101,Ideal,J,SI1,605,560,649,653,394,4604.39024
18,35,Ideal,I,VS2,598,570,459,46,275,537.7746
19,9,Very Good,D,SI2,595,580,628,633,375,3772.40415
20,3,Premium,D,VS2,619,580,428,432,266,707.61667
21,124,Premium,G,VS1,620,550,695,689,429,9478.56316
22,3,Premium,H,VVS1,620,590,429,426,265,759.07263
23,118,Very Good,E,VVS2,615,580,678,687,42,10926.22829
24,104,Ideal,H,SI2,596,560,664,659,394,4375.32543
25,123,Very Good,E,SI1,592,620,70,705,416,7665.62702
26,121,Premium,F,SI2,590,600,694,699,411,4844.89887
27,36,Good,I,VS1,633,560,451,456,287,560.73994
28,71,Good,F,SI1,643,580,561,555,359,2022.75902
29,252,Good,G,SI2,637,590,857,852,544,16014.08899
30,34,Ideal,E,SI1,610,570,451,448,274,639.32547
31,99,Ideal,H,SI1,611,560,644,647,394,4926.43783
32,116,Ideal,D,VS2,621,570,67,673,417,9324.10708
33,127,Premium,I,VS2,626,590,695,686,432,5847.83911
34,5,Ideal,E,VS2,626,540,508,511,319,1519.05006
35,57,Very Good,G,VS2,607,580,531,537,324,1679.98191
36,28,Very Good,E,VVS1,609,600,425,426,259,635.28961
37,7,Premium,I,VVS2,601,590,58,572,346,2111.48649
38,20,Premium,F,SI1,588,610,829,823,486,16983.7925
39,24,Good,F,VS1,608,640,396,40,242,446.46267
40,33,Premium,G,VVS1,614,600,444,439,271,894.30253
41,12,Premium,H,SI1,622,580,678,672,42,5298.69421
42,64,Good,F,VS1,577,610,568,575,329,2320.89425
43,121,Premium,H,SI2,588,600,699,695,41,4871.90666
44,7,Fair,F,SI2,651,520,564,557,365,1741.64067
45,42,Ideal,G,IF,622,540,481,484,30,1161.65153
46,10,Very Good,D,SI1,592,620,649,654,386,5251.52087
47,101,Ideal,E,SI1,622,560,643,64,399,5593.41051
48,9,Premium,E,SI2,608,600,621,625,379,3443.17054
49,51,Very Good,H,VS2,601,598,514,519,31,1198.67389
50,32,Ideal,D,SI2,621,550,438,44,273,475.90378
51,3,Ideal,E,VS2,615,550,432,44,268,711.00017
52,3,Very Good,H,VS1,634,530,43,425,271,531.01854
53,71,Very Good,G,VS1,620,530,572,576,356,2817.30083
54,113,Premium,E,SI2,604,590,67,675,406,4866.90749
55,32,Ideal,G,VVS2,614,550,44,443,271,717.90624
56,10,Fair,F,SI1,658,580,623,615,407,3950.19055
57,68,Good,F,SI1,581,600,58,591,34,2410.31568
58,59,Ideal,E,VS1,616,570,535,539,331,1964.20394
59,3,Ideal,F,IF,608,560,435,436,265,926.02284
60,133,Premium,F,SI2,599,580,713,717,428,6235.30899
61,111,Ideal,G,VS1,615,580,67,666,411,7297.5797
62,55,Good,F,SI1,570,620,542,544,31,1209.18147
63,9,Very Good,E,SI1,621,590,613,617,382,4251.20557
64,9,Very Good,G,SI1,616,590,613,619,38,3594.67218
65,15,Good,J,SI1,640,560,721,716,46,6404.57882
66,7,Ideal,H,VS1,619,550,566,572,352,2610.18464
67,9,Fair,H,VS2,648,580,607,603,392,3620.27327
68,37,Very Good,E,VS2,618,590,456,46,283,676.83305
69,34,Very Good,E,VS2,626,580,443,445,278,588.29815
70,92,Very Good,F,VS1,610,600,625,627,382,4974.96711
71,10,Fair,D,SI1,673,570,615,604,41,4041.38479
72,58,Fair,F,I1,658,560,523,512,341,707.66921
73,109,Ideal,E,SI2,619,550,664,66,41,4822.90018
74,8,Good,H,VS2,634,600,592,582,372,2860.00776
75,201,Premium,G,SI1,603,590,823,815,494,16188.65302
76,215,Ideal,I,SI1,625,570,82,816,511,13899.02052
77,181,Premium,I,VS2,627,580,777,768,484,12887.74313
78,4,Ideal,E,SI1,624,530,473,475,296,761.36443
79,155,Very Good,H,VS2,613,610,739,746,455,11622.35572
80,9,Good,G,SI1,637,580,612,609,389,3695.55886
81,11,Ideal,H,VS1,617,560,661,665,409,6966.2188
