id,carat,cut,color,clarity,depth,table,x,y,z,price
0,11,Premium,H,SI2,622,580,669,66,413,4256.89942
1,51,Ideal,I,SI1,625,570,507,51,318,1431.60072
2,203,Premium,G,SI1,619,590,814,809,502,16864.1912
3,121,Premium,F,SI1,600,600,696,691,416,7038.50033
4,55,Ideal,F,SI1,618,550,527,522,324,1431.60072
5,7,Premium,H,SI1,611,580,574,579,352,2579.82597
6,59,Ideal,E,VS2,602,610,543,547,328,1742.0527
7,54,Ideal,H,VVS1,619,540,522,525,324,2059.3912
8,9,Premium,D,SI2,581,600,626,624,363,3672.55324
9,133,Ideal,F,IF,602,570,712,717,43,14293.19525
10,78,Ideal,E,VS2,614,560,591,595,364,3257.21928
11,31,Ideal,E,SI1,616,540,439,441,271,718.26742
12,38,Ideal,H,SI1,612,560,463,468,285,848.99927
13,93,Good,G,SI1,638,580,614,609,39,3950.60699
14,35,Premium,E,VS2,589,590,464,459,272,830.98835
15,10,Good,H,SI1,616,610,629,635,389,4740.94822
16,62,Fair,F,SI1,551,660,585,57,318,2388.12398
17,101,Ideal,J,SI1,605,560,649,653,394,4044.43531
18,35,Ideal,I,VS2,598,570,459,46,275,718.26742
19,9,Very Good,D,SI2,595,580,628,633,375,3841.85456
20,3,Premium,D,VS2,619,580,428,432,266,691.3973
21,124,Premium,G,VS1,620,550,695,689,429,9078.51197
22,3,Premium,H,VVS1,620,590,429,426,265,691.3973
23,118,Very Good,E,VVS2,615,580,678,687,42,11855.23157
24,104,Ideal,H,SI2,596,560,664,659,394,4368.6594
25,123,Very Good,E,SI1,592,620,70,705,416,6588.31946
26,121,Premium,F,SI2,590,600,694,699,411,5188.25969
27,36,Good,I,VS1,633,560,451,456,287,732.94226
28,71,Good,F,SI1,643,580,561,555,359,2369.06274
29,252,Good,G,SI2,637,590,857,852,544,15909.76552
30,34,Ideal,E,SI1,610,570,451,448,274,718.26742
31,99,Ideal,H,SI1,611,560,644,647,394,5071.59264
32,116,Ideal,D,VS2,621,570,67,673,417,8147.15754
33,127,Premium,I,VS2,626,590,695,686,432,6157.37195
34,5,Ideal,E,VS2,626,540,508,511,319,1700.2424
35,57,Very Good,G,VS2,607,580,531,537,324,1700.2424
36,28,Very Good,E,VVS1,609,600,425,426,259,691.3973
37,7,Premium,I,VVS2,601,590,58,572,346,2529.55531
38,20,Premium,F,SI1,588,610,829,823,486,16444.91506
39,24,Good,F,VS1,608,640,396,40,242,691.3973
40,33,Premium,G,VVS1,614,600,444,439,271,718.26742
41,12,Premium,H,SI1,622,580,678,672,42,5784.86093
42,64,Good,F,VS1,577,610,568,575,329,2775.55945
43,121,Premium,H,SI2,588,600,699,695,41,5260.7687
44,7,Fair,F,SI2,651,520,564,557,365,2260.47527
45,42,Ideal,G,IF,622,540,481,484,30,976.28326
46,10,Very Good,D,SI1,592,620,649,654,386,5720.24129
47,101,Ideal,E,SI1,622,560,643,64,399,4927.11706
48,9,Premium,E,SI2,608,600,621,625,379,3672.55324
49,51,Very Good,H,VS2,601,598,514,519,31,1642.92052
50,32,Ideal,D,SI2,621,550,438,44,273,718.26742
51,3,Ideal,E,VS2,615,550,432,44,268,691.3973
52,3,Very Good,H,VS1,634,530,43,425,271,691.3973
53,71,Very Good,G,VS1,620,530,572,576,356,3154.27807
54,113,Premium,E,SI2,604,590,67,675,406,4599.13538
55,32,Ideal,G,VVS2,614,550,44,443,271,691.3973
56,10,Fair,F,SI1,658,580,623,615,407,4318.0971
57,68,Good,F,SI1,581,600,58,591,34,2633.01556
58,59,Ideal,E,VS1,616,570,535,539,331,1755.11631
59,3,Ideal,F,IF,608,560,435,436,265,760.37612
60,133,Premium,F,SI2,599,580,713,717,428,5703.26475
61,111,Ideal,G,VS1,615,580,67,666,411,7392.97679
62,55,Good,F,SI1,570,620,542,544,31,1807.40083
63,9,Very Good,E,SI1,621,590,613,617,382,4131.01264
64,9,Very Good,G,SI1,616,590,613,619,38,4131.01264
65,15,Good,J,SI1,640,560,721,716,46,7079.61293
66,7,Ideal,H,VS1,619,550,566,572,352,3038.48479
67,9,Fair,H,VS2,648,580,607,603,392,3778.15395
68,37,Very Good,E,VS2,618,590,456,46,283,718.26742
69,34,Very Good,E,VS2,626,580,443,445,278,718.26742
70,92,Very Good,F,VS1,610,600,625,627,382,4854.7788
71,10,Fair,D,SI1,673,570,615,604,41,3843.68391
72,58,Fair,F,I1,658,560,523,512,341,1488.5025
73,109,Ideal,E,SI2,619,550,664,66,41,4355.85431
74,8,Good,H,VS2,634,600,592,582,372,3035.94957
75,201,Premium,G,SI1,603,590,823,815,494,16735.94339
76,215,Ideal,I,SI1,625,570,82,816,511,15441.97575
77,181,Premium,I,VS2,627,580,777,768,484,12972.61761
78,4,Ideal,E,SI1,624,530,473,475,296,976.28326
79,155,Very Good,H,VS2,613,610,739,746,455,11447.87482
80,9,Good,G,SI1,637,580,612,609,389,3835.65311
81,11,Ideal,H,VS1,617,560,661,665,409,5702.27013
82,112,Ideal,H,VS1,619,570,666,669,413,5702.27013
83,111,Very Good,D,VVS1,625,580,667,66,415,10469.7833
84,133,Premium,I,VS2,625,610,702,699,438,6193.12378
85,16,Very Good,H,VS1,612,586,748,763,462,12038.50339
86,51,Good,G,VVS2,576,560,527,535,306,1852.63454
87,15,Ideal,G,SI2,614,560,734,738,452,8011.25241
88,4,Ideal,G,VVS1,626,570,466,473,294,984.81999
89,5,Premium,D,VS1,628,580,505,501,316,1676.88698
90,202,Ideal,I,SI2,617,570,812,805,499,14083.50348
91,112,Premium,H,SI1,620,560,668,661,412,5295.70292
92,53,Premium,G,VS1,630,580,517,515,325,1755.11631
93,39,Very Good,J,VVS1,625,580,461,467,29,848.23266
94,66,Premium,D,VS1,610,580,567,557,343,2913.86475
95,4,Premium,D,VS2,591,570,487,481,286,976.28326
96,45,Good,D,VS2,637,610,481,473,304,1015.40587
97,9,Very Good,E,SI2,632,610,606,599,381,3222.44943
98,42,Ideal,E,VS2,623,550,483,477,299,976.28326
99,153,Premium,J,VVS1,616,590,739,735,454,8076.24933
100,35,Ideal,G,VS1,626,540,452,456,284,732.94226
101,72,Premium,J,SI1,621,590,575,571,356,2330.22553
102,9,Premium,I,VS2,624,600,616,606,381,3626.84091
103,47,Fair,E,SI1,652,590,475,482,312,1252.07047
104,125,Ideal,D,SI2,619,544,69,693,428,5492.22621
105,31,Ideal,G,VVS1,619,550,438,441,272,718.26742
106,171,Good,G,SI2,637,570,754,75,479,9499.39271
107,31,Ideal,E,IF,622,530,435,44,272,760.37612
108,3,Premium,D,SI1,620,600,429,426,265,691.3973
109,9,Premium,D,SI1,594,620,624,619,369,4249.52575
110,94,Fair,H,SI1,684,530,605,597,411,3486.48925
111,102,Very Good,E,VS2,629,560,637,647,404,6522.38435
